title,type,episodes,rating,score,rank,popularity,members,favorites,premiered,studio,genre
Toki wo Kakeru Shoujo,Movie,1,PG - Children,8.35,194.0,113,411479,4395,,Madhouse,"Sci-Fi, Adventure, Drama, Romance"
Tsuki ga Kirei,TV,12,PG-13 - Teens 13 or older,8.35,195.0,474,169916,3365,Spring 2017,feel.,Romance
Yuru Camp△,TV,12,PG-13 - Teens 13 or older,8.35,195.0,777,111440,1693,Winter 2018,C-Station,"Slice of Life, Comedy"
Ballroom e Youkoso,TV,24,PG-13 - Teens 13 or older,8.34,196.0,707,121044,1353,Summer 2017,Production I.G,"Comedy, Sports, Drama, Romance, Shounen"
Danshi Koukousei no Nichijou,TV,12,PG-13 - Teens 13 or older,8.34,197.0,139,373647,8046,Winter 2012,Sunrise,"Slice of Life, Comedy"
Fate/stay night: Unlimited Blade Works,TV,12,R - 17+ (violence & profanity),8.34,198.0,108,420948,7860,Fall 2014,ufotable,"Action, Fantasy"
Hachimitsu to Clover II,TV,12,PG-13 - Teens 13 or older,8.34,199.0,1148,71737,858,Summer 2006,J.C.Staff,"Drama, Josei, Romance, Slice of Life"
K-On! Movie,Movie,1,PG-13 - Teens 13 or older,8.34,201.0,534,151195,1216,,Kyoto Animation,"Music, Slice of Life, Comedy"
Kuroshitsuji: Book of Murder,OVA,2,R - 17+ (violence & profanity),8.34,201.0,808,107181,856,,A-1 Pictures,"Comedy, Fantasy, Historical, Mystery, Shounen"
Nodame Cantabile Finale,TV,11,PG-13 - Teens 13 or older,8.34,203.0,995,84808,381,Winter 2010,J.C.Staff,"Comedy, Josei, Music, Romance"
Ookami to Koushinryou,TV,13,PG-13 - Teens 13 or older,8.34,204.0,100,442354,13201,Winter 2008,Imagin,"Adventure, Fantasy, Historical, Romance"
Ouran Koukou Host Club,TV,26,PG-13 - Teens 13 or older,8.34,205.0,69,538843,24072,Spring 2006,Bones,"Comedy, Romance, Shoujo"
Yoru wa Mijikashi Arukeyo Otome,Movie,1,R+ - Mild Nudity,8.34,206.0,2300,26034,320,,Science SARU,"Comedy, Romance"
Gintama: Shinyaku Benizakura-hen,Special,1,PG-13 - Teens 13 or older,8.33,207.0,2673,19977,35,,Sunrise,"Action, Comedy, Historical, Sci-Fi, Shounen"
Gin no Saji 2nd Season,TV,11,PG-13 - Teens 13 or older,8.33,207.0,967,87685,448,Winter 2014,A-1 Pictures,"Comedy, Shounen, Slice of Life"
Kuroshitsuji: Book of Circus,TV,10,R - 17+ (violence & profanity),8.33,209.0,447,178102,2495,Summer 2014,A-1 Pictures,"Comedy, Fantasy, Historical, Shounen"
Major: Message,OVA,1,PG-13 - Teens 13 or older,8.33,209.0,2906,16857,43,,SynergySP,"Comedy, Drama, Sports"
One Piece Film: Strong World,Movie,1,PG-13 - Teens 13 or older,8.33,210.0,755,114843,362,,Toei Animation,"Action, Adventure, Comedy, Drama, Fantasy, Shounen"
Sakurasou no Pet na Kanojo,TV,24,PG-13 - Teens 13 or older,8.33,212.0,65,555373,18044,Fall 2012,J.C.Staff,"Comedy, Drama, Romance, Slice of Life"
Redline,Movie,1,R+ - Mild Nudity,8.33,212.0,511,157591,2411,,Madhouse,"Action, Sci-Fi, Sports"
SKET Dance,TV,77,PG-13 - Teens 13 or older,8.33,213.0,646,130264,2474,Spring 2011,Tatsunoko Production,"Comedy, Shounen"
Steins;Gate: Kyoukaimenjou no Missing Link - Divide By Zero,Special,1,PG-13 - Teens 13 or older,8.33,215.0,982,86477,195,,White Fox,"Sci-Fi, Thriller"
Bakuman.,TV,25,PG-13 - Teens 13 or older,8.32,216.0,172,332666,6846,Fall 2010,J.C.Staff,"Comedy, Drama, Romance, Shounen"
Bungou Stray Dogs 2nd Season,TV,12,R - 17+ (violence & profanity),8.32,217.0,370,203192,2096,Fall 2016,Bones,"Action, Mystery, Seinen"
Gyakkyou Burai Kaiji: Ultimate Survivor,TV,26,R - 17+ (violence & profanity),8.32,218.0,555,147559,4856,Fall 2007,Madhouse,"Psychological, Seinen, Thriller"
InuYasha: Kanketsu-hen,TV,26,PG-13 - Teens 13 or older,8.32,219.0,626,133736,1443,Fall 2009,Sunrise,"Action, Adventure, Comedy, Historical, Romance, Fantasy, Shounen"
Kaguya-hime no Monogatari,Movie,1,G - All Ages,8.32,220.0,1106,74970,779,,Studio Ghibli,"Fantasy, Historical"
Little Busters!: Refrain,TV,13,PG-13 - Teens 13 or older,8.32,221.0,901,95604,1649,Fall 2013,J.C.Staff,"Comedy, Drama, Romance, Slice of Life"
Major S4,TV,26,PG-13 - Teens 13 or older,8.32,222.0,1886,36476,151,Winter 2008,SynergySP,"Sports, Comedy, Drama, Shounen"
Neon Genesis Evangelion,TV,26,PG-13 - Teens 13 or older,8.32,223.0,48,641101,41098,Fall 1995,"Gainax, Tatsunoko Production","Action, Sci-Fi, Psychological, Drama, Mecha"
One Piece Film: Z,Movie,1,PG-13 - Teens 13 or older,8.32,224.0,784,110091,401,,Toei Animation,"Action, Adventure, Comedy, Drama, Fantasy, Shounen"
Perfect Blue,Movie,1,R+ - Mild Nudity,8.32,225.0,433,180949,3580,,Madhouse,"Horror, Psychological, Drama"
Sennen Joyuu,Movie,1,PG-13 - Teens 13 or older,8.32,226.0,1041,79777,1251,,Madhouse,"Action, Adventure, Historical, Drama, Romance, Fantasy"
Angel Beats!,TV,13,PG-13 - Teens 13 or older,8.31,227.0,7,1010771,36456,Spring 2010,P.A. Works,"Action, Comedy, Drama"
Dragon Ball Z,TV,291,PG-13 - Teens 13 or older,8.31,228.0,70,534974,21295,Spring 1989,Toei Animation,"Action, Adventure, Comedy, Fantasy, Shounen"
Initial D Final Stage,TV,4,PG-13 - Teens 13 or older,8.31,229.0,1789,39616,267,Spring 2014,SynergySP,"Seinen, Sports"
Katekyo Hitman Reborn!,TV,203,PG-13 - Teens 13 or older,8.31,230.0,173,332312,13899,Fall 2006,Artland,"Action, Comedy, Shounen"
Kyoukai no Kanata Movie 2: I&#039;ll Be Here - Mirai-hen,Movie,1,PG-13 - Teens 13 or older,8.31,231.0,827,105435,646,,Kyoto Animation,"Slice of Life, Fantasy"
Mobile Suit Gundam Unicorn,OVA,7,PG-13 - Teens 13 or older,8.31,232.0,1481,52688,1066,,Sunrise,"Action, Drama, Mecha, Sci-Fi"
Tokyo Godfathers,Movie,1,PG-13 - Teens 13 or older,8.31,233.0,679,124236,993,,Madhouse,"Comedy, Drama"
Trigun,TV,26,PG-13 - Teens 13 or older,8.31,234.0,138,373877,9795,Spring 1998,Madhouse,"Action, Sci-Fi, Adventure, Comedy, Drama, Shounen"
Berserk: Ougon Jidai-hen III - Kourin,Movie,1,R+ - Mild Nudity,8.3,235.0,879,98959,717,,Studio 4°C,"Action, Adventure, Drama, Fantasy, Horror, Seinen"
Detective Conan Movie 20: The Darkest Nightmare,Movie,1,G - All Ages,8.3,236.0,3128,14475,58,,TMS Entertainment,"Action, Mystery, Shounen"
Hunter x Hunter: Greed Island,OVA,8,PG-13 - Teens 13 or older,8.3,237.0,1126,73480,215,,Nippon Animation,"Action, Adventure, Shounen"
Mahoutsukai no Yome,TV,24,PG-13 - Teens 13 or older,8.3,238.0,174,330533,4197,Fall 2017,Wit Studio,"Slice of Life, Fantasy, Shounen"
Mimi wo Sumaseba,Movie,1,G - All Ages,8.3,239.0,648,129945,1619,,Studio Ghibli,"Slice of Life, Drama, Romance, Shoujo"
ReLIFE: Kanketsu-hen,Special,4,PG-13 - Teens 13 or older,8.3,241.0,1068,77705,331,,TMS Entertainment,"Romance, Slice of Life"
xxxHOLiC Kei,TV,13,PG-13 - Teens 13 or older,8.3,241.0,944,89671,480,Spring 2008,Production I.G,"Mystery, Comedy, Psychological, Drama"
xxxHOLiC Rou,OVA,2,PG-13 - Teens 13 or older,8.3,242.0,1674,43955,142,,Production I.G,Mystery
Cardcaptor Sakura Movie 2: Fuuin Sareta Card,Movie,1,PG - Children,8.29,244.0,1091,75722,1195,,Madhouse,"Comedy, Drama, Fantasy, Romance, Shoujo"
Ashita no Joe,TV,79,PG-13 - Teens 13 or older,8.29,244.0,2154,29129,656,Spring 1970,Mushi Production,"Action, Drama, Shounen, Slice of Life, Sports"
Chihayafuru,TV,25,PG-13 - Teens 13 or older,8.29,246.0,348,213902,4524,Fall 2011,Madhouse,"Drama, Josei, Slice of Life, Sports"
Durarara!!,TV,24,R - 17+ (violence & profanity),8.29,247.0,30,745291,24657,Winter 2010,Brain&#039;s Base,"Action, Mystery"
Fullmetal Alchemist,TV,51,PG-13 - Teens 13 or older,8.29,247.0,21,791812,21753,Fall 2003,Bones,"Action, Adventure, Comedy, Drama, Fantasy, Shounen"
Hibike! Euphonium 2,TV,13,PG-13 - Teens 13 or older,8.29,248.0,890,97398,1208,Fall 2016,Kyoto Animation,"Music, Drama"
Kuroko no Basket Movie 4: Last Game,Movie,1,PG-13 - Teens 13 or older,8.29,249.0,1129,73291,473,,Production I.G,"Sports, Shounen"
Majo no Takkyuubin,Movie,1,G - All Ages,8.29,250.0,340,215744,2020,,"Studio Ghibli, Studio Hibari","Adventure, Comedy, Drama, Romance, Fantasy"
