title,type,episodes,rating,score,rank,popularity,members,favorites,premiered,studio,genre
Gintama.: Porori-hen,TV,13,PG-13 - Teens 13 or older,8.59,71.0,1464,53820,450,Fall 2017,Bandai Namco Pictures,"Action, Sci-Fi, Comedy, Historical, Shounen"
Rainbow: Nisha Rokubou no Shichinin,TV,26,R - 17+ (violence & profanity),8.59,72.0,384,196494,5199,Spring 2010,Madhouse,"Drama, Historical, Seinen, Thriller"
Violet Evergarden,TV,13,PG-13 - Teens 13 or older,8.59,73.0,157,346230,6071,Winter 2018,Kyoto Animation,"Slice of Life, Drama, Fantasy"
Shokugeki no Souma: San no Sara - Toutsuki Ressha-hen,TV,0,PG-13 - Teens 13 or older,8.58,74.0,599,138614,568,Spring 2018,J.C.Staff,Shounen
Steins;Gate Movie: Fuka Ryouiki no Déjà vu,Movie,1,PG-13 - Teens 13 or older,8.58,75.0,232,282422,1417,,White Fox,"Sci-Fi, Drama"
Gintama Movie 1: Shinyaku Benizakura-hen,Movie,1,R - 17+ (violence & profanity),8.57,76.0,1138,72334,324,,Sunrise,"Action, Sci-Fi, Comedy, Historical, Shounen"
Boku dake ga Inai Machi,TV,12,R - 17+ (violence & profanity),8.56,77.0,40,699351,21248,Winter 2016,A-1 Pictures,"Mystery, Psychological, Seinen"
JoJo no Kimyou na Bouken: Stardust Crusaders 2nd Season,TV,24,R - 17+ (violence & profanity),8.56,78.0,400,190689,4468,Winter 2015,David Production,"Action, Adventure, Drama, Shounen"
Saiki Kusuo no Ψ-nan (TV),TV,120,PG-13 - Teens 13 or older,8.56,79.0,580,144096,2969,Summer 2016,"J.C.Staff, Egg Firm","Slice of Life, Comedy, Shounen"
Uchuu Kyoudai,TV,99,PG-13 - Teens 13 or older,8.56,80.0,881,98864,2503,Spring 2012,A-1 Pictures,"Comedy, Sci-Fi, Seinen, Slice of Life"
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,TV,11,PG-13 - Teens 13 or older,8.55,81.0,45,661053,21155,Spring 2011,A-1 Pictures,"Slice of Life, Drama"
Ghost in the Shell: Stand Alone Complex 2nd GIG,TV,26,R - 17+ (violence & profanity),8.55,82.0,545,149392,2392,Winter 2004,Production I.G,"Action, Sci-Fi, Mystery, Mecha, Seinen"
Hotaru no Haka,Movie,1,PG-13 - Teens 13 or older,8.55,83.0,284,245639,2921,,Studio Ghibli,"Drama, Historical"
Hotarubi no Mori e,Movie,1,G - All Ages,8.55,84.0,196,312545,5582,,Brain&#039;s Base,"Drama, Romance, Shoujo"
Shokugeki no Souma,TV,24,PG-13 - Teens 13 or older,8.55,85.0,54,612996,15394,Spring 2015,J.C.Staff,Shounen
Slam Dunk,TV,101,PG-13 - Teens 13 or older,8.55,86.0,753,114837,3423,Fall 1993,Toei Animation,"Comedy, Sports, Drama, Shounen"
Kamisama Hajimemashita: Kako-hen,OVA,4,PG-13 - Teens 13 or older,8.54,87.0,1305,62185,517,,TMS Entertainment,"Comedy, Romance, Fantasy, Shoujo"
Kuroko no Basket 3rd Season,TV,25,PG-13 - Teens 13 or older,8.54,88.0,226,287422,3360,Winter 2015,Production I.G,"Comedy, Sports, Shounen"
Kuroshitsuji Movie: Book of the Atlantic,Movie,1,R - 17+ (violence & profanity),8.54,89.0,1327,61295,564,,A-1 Pictures,"Action, Comedy, Historical, Fantasy"
Major S5,TV,25,PG-13 - Teens 13 or older,8.54,90.0,1835,38181,435,Winter 2009,SynergySP,"Comedy, Drama, Romance, Sports"
One Piece,TV,0,PG-13 - Teens 13 or older,8.54,91.0,35,720133,69760,Fall 1999,Toei Animation,"Action, Adventure, Comedy, Drama, Fantasy, Shounen"
Hellsing Ultimate,OVA,10,R - 17+ (violence & profanity),8.53,92.0,105,425255,13450,,"Madhouse, Satelight, Graphinica","Action, Horror, Seinen"
Gintama: Yorinuki Gintama-san on Theater 2D,Movie,2,PG-13 - Teens 13 or older,8.52,93.0,2773,18414,32,,Sunrise,"Action, Sci-Fi, Comedy, Historical, Shounen"
Kiseijuu: Sei no Kakuritsu,TV,24,R - 17+ (violence & profanity),8.52,94.0,42,676816,15963,Fall 2014,Madhouse,"Action, Sci-Fi, Horror, Psychological, Drama, Seinen"
Kara no Kyoukai 7: Satsujin Kousatsu (Kou),Movie,1,R - 17+ (violence & profanity),8.52,94.0,707,120714,1446,,ufotable,"Action, Mystery, Romance, Thriller"
Mushishi Zoku Shou: Odoro no Michi,Special,1,PG-13 - Teens 13 or older,8.52,95.0,1548,49099,60,,Artland,"Adventure, Slice of Life, Mystery, Historical, Fantasy, Seinen"
Nichijou,TV,26,PG-13 - Teens 13 or older,8.52,96.0,136,377617,12447,Spring 2011,Kyoto Animation,"Slice of Life, Comedy"
Usagi Drop,TV,11,PG-13 - Teens 13 or older,8.52,97.0,256,267477,4705,Summer 2011,Production I.G,"Josei, Slice of Life"
Kingdom 2nd Season,TV,39,R - 17+ (violence & profanity),8.51,99.0,1621,45807,503,Summer 2013,Studio Pierrot,"Action, Historical, Seinen"
Mob Psycho 100,TV,12,PG-13 - Teens 13 or older,8.51,100.0,84,485074,8926,Summer 2016,Bones,"Action, Slice of Life, Comedy"
Nana,TV,47,R+ - Mild Nudity,8.51,101.0,262,262266,12291,Spring 2006,Madhouse,"Music, Slice of Life, Comedy, Drama, Romance, Shoujo"
Bakemono no Ko,Movie,1,PG-13 - Teens 13 or older,8.5,102.0,482,166887,1755,,Studio Chizu,Adventure
Cross Game,TV,50,PG-13 - Teens 13 or older,8.5,102.0,1167,70545,2114,Spring 2009,SynergySP,"Comedy, Drama, Romance, Sports"
Gintama°: Aizome Kaori-hen,OVA,2,PG-13 - Teens 13 or older,8.5,104.0,1979,33488,87,,Bandai Namco Pictures,Comedy
Samurai Champloo,TV,26,R - 17+ (violence & profanity),8.5,105.0,67,544112,19501,Spring 2004,Manglobe,"Action, Adventure, Comedy, Historical, Shounen"
Shokugeki no Souma: San no Sara,TV,12,PG-13 - Teens 13 or older,8.5,106.0,282,248061,1817,Fall 2017,J.C.Staff,Shounen
Baccano!,TV,13,R - 17+ (violence & profanity),8.49,107.0,87,482078,17790,Summer 2007,Brain&#039;s Base,"Action, Mystery, Comedy, Historical"
Bakuman. 2nd Season,TV,25,PG-13 - Teens 13 or older,8.49,108.0,374,201720,1023,Fall 2011,J.C.Staff,"Comedy, Drama, Romance, Shounen"
